feed_category,fa_parent_category,fa_leaf_category,fa_leaf_category_lvl
Premium Free Leaseholds,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Pubs,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Strip Clubs,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Recreation Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Aquatic and Marine Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Bowling Clubs,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Fishing and Related Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Golf and Related Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Health and Fitness Clubs,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Health Farms,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Horse Riding Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Misc Sports Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Outdoor Adventure Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Scuba Diving Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Ski and Related Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Snooker and Pool Centres,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Spas,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Sports Centres,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Sports Teams,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Swimming Pool Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Tennis Clubs,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Tourism Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Manufacturing Businesses,Businesses For Sale,Manufacturing Businesses for sale,5
Clothing and Footwear Manufacturers,Businesses For Sale,Manufacturing Businesses for sale,5
Energy Related Businesses,Businesses For Sale,Manufacturing Businesses for sale,5
Furniture Manufacturers,Businesses For Sale,Manufacturing Businesses for sale,5
Furniture Manufacturing Businesses,Businesses For Sale,Manufacturing Businesses for sale,5
Kitchen and Bedroom Manufacturers,Businesses For Sale,Manufacturing Businesses for sale,5
Sawmills,Businesses For Sale,Manufacturing Businesses for sale,5
Wood Products Manufacturing Businesses,Businesses For Sale,Manufacturing Businesses for sale,5
Machinery and Metal Businesses,Businesses For Sale,Manufacturing Businesses for sale,5
Fabrication Businesses,Businesses For Sale,Manufacturing Businesses for sale,5
Heavy Machinery Businesses,Businesses For Sale,Manufacturing Businesses for sale,5
Machine Shop,Businesses For Sale,Manufacturing Businesses for sale,5
Metal Products Manufacturers,Businesses For Sale,Manufacturing Businesses for sale,5
Miscellaneous Machinery and Metal Businesses,Businesses For Sale,Manufacturing Businesses for sale,5
Toolmakers and Precision Businesses,Businesses For Sale,Manufacturing Businesses for sale,5
Mining Businesses,Businesses For Sale,Manufacturing Businesses for sale,5
Other Manufacturing Businesses,Businesses For Sale,Manufacturing Businesses for sale,5
Chemical Businesses,Businesses For Sale,Manufacturing Businesses for sale,5
Electrical Appliance Manufacturers,Businesses For Sale,Manufacturing Businesses for sale,5
Glass Products Manufacturers,Businesses For Sale,Manufacturing Businesses for sale,5
