feed_category,fa_parent_category,fa_leaf_category,fa_leaf_category_lvl
Account Manager Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Car,
Van,
Truck,
Motorhome,
Caravan,
Motorbike,
Bike
