parent_level;parent;child_level;child
2;Construction, Tradesmen and Property Jobs;3;Plastering Jobs
2;Construction, Tradesmen and Property Jobs;3;Plumbing Jobs
2;Construction, Tradesmen and Property Jobs;3;Quantity Surveyor Jobs
2;Construction, Tradesmen and Property Jobs;3;Other Construction, Tradesmen, and Property Jobs
2;Education Jobs;3;Adult Education Jobs
2;Education Jobs;3;Higher Education Jobs
2;Education Jobs;3;International Teaching and TEFL Jobs
2;Education Jobs;3;Language Teaching Jobs
2;Education Jobs;3;Learning Support Assistant Jobs
2;Education Jobs;3;Primary Teaching Jobs
2;Education Jobs;3;School Jobs
2;Education Jobs;3;Secondary Teaching Jobs
2;Education Jobs;3;Special Educational Needs Jobs
2;Education Jobs;3;Supply Teacher Jobs
2;Education Jobs;3;Teaching Assistant Jobs
2;Education Jobs;3;Tutoring Jobs
2;Education Jobs;3;"Other Education Jobs "
2;Engineering Jobs;3;Aeronautical Engineering Jobs
2;Engineering Jobs;3;Aerospace Engineering Jobs
2;Engineering Jobs;3;Chemical Engineering Jobs
2;Engineering Jobs;3;Civil Engineering Jobs
2;Engineering Jobs;3;Electrical Engineering Jobs
2;Engineering Jobs;3;Geotechnical Engineering Jobs
2;Engineering Jobs;3;Graduate Engineering Jobs
2;Engineering Jobs;3;Maintenance Engineer Jobs
2;Engineering Jobs;3;Marine Engineering Jobs
2;Engineering Jobs;3;Mechanical Engineering Jobs
2;Engineering Jobs;3;Structural Engineering Jobs
2;Engineering Jobs;3;Other Engineering Jobs
2;Farming, Gardening and Pet Jobs;3;Animal Jobs
2;Farming, Gardening and Pet Jobs;3;Dog Grooming Jobs
2;Farming, Gardening and Pet Jobs;3;Dog Walking Jobs
2;Farming, Gardening and Pet Jobs;3;Equine Jobs
2;Farming, Gardening and Pet Jobs;3;Farming Jobs
2;Farming, Gardening and Pet Jobs;3;Gardening and Landscaping Jobs
2;Farming, Gardening and Pet Jobs;3;Petsitting Jobs
2;Farming, Gardening and Pet Jobs;3;Veterinary Jobs
2;Farming, Gardening and Pet Jobs;3;Other Farming, Gardening, and Pet Jobs
2;General Jobs;3;Flyering Jobs
2;General Jobs;3;Handyman Jobs
2;General Jobs;3;Host Families
2;General Jobs;3;Housekeeping and Cleaning Jobs
2;General Jobs;3;Manufacturing Jobs
2;General Jobs;3;Modelling Jobs
2;General Jobs;3;Music Jobs
2;General Jobs;3;Promotional Jobs
2;General Jobs;3;Security Jobs
2;General Jobs;3;Warehouse Jobs
2;General Jobs;3;Other General Jobs
2;Health, Beauty and Fitness Jobs;3;Gym and Fitness Jobs
2;Health, Beauty and Fitness Jobs;3;Hairdressing and Styling Jobs
2;Health, Beauty and Fitness Jobs;3;Massage Therapist Jobs
2;Health, Beauty and Fitness Jobs;3;Nail Technician Jobs
2;Health, Beauty and Fitness Jobs;3;Personal Trainer Jobs
2;Health, Beauty and Fitness Jobs;3;Spa and Beauty Jobs
2;Health, Beauty and Fitness Jobs;3;Sports and Healthclub Jobs
2;Health, Beauty and Fitness Jobs;3;Other Health, Beauty, and Fitness Jobs
2;Healthcare and Medicine Jobs;3;Biotechnology Jobs
2;Healthcare and Medicine Jobs;3;Dental Jobs
2;Healthcare and Medicine Jobs;3;GP Jobs
2;Healthcare and Medicine Jobs;3;Healthcare Jobs
2;Healthcare and Medicine Jobs;3;Medical Jobs
2;Healthcare and Medicine Jobs;3;Nursing Jobs
2;Healthcare and Medicine Jobs;3;Occupational Therapy Jobs
2;Healthcare and Medicine Jobs;3;Pharmaceutical Jobs
2;Healthcare and Medicine Jobs;3;Support Care Jobs
2;Healthcare and Medicine Jobs;3;Other Healthcare and Medical Jobs
2;Home and Social Care Jobs;3;Care Assistant Jobs
2;Home and Social Care Jobs;3;Care Home Jobs
2;Home and Social Care Jobs;3;Carer Jobs
2;Home and Social Care Jobs;3;Domiciliary Care Jobs
2;Home and Social Care Jobs;3;Personal Assistant Jobs
2;Home and Social Care Jobs;3;Social Work Jobs
2;Home and Social Care Jobs;3;Support Worker Jobs
2;Home and Social Care Jobs;3;Other Home and Social Care Jobs
2;Hospitality and Catering Jobs;3;Food and Beverage Jobs
2;Hospitality and Catering Jobs;3;Concierge Jobs
2;Hospitality and Catering Jobs;3;Events Jobs
2;Hospitality and Catering Jobs;3;Front Desk and Receptionist Jobs
2;Hospitality and Catering Jobs;3;Hotel Maintenance Jobs
2;Hospitality and Catering Jobs;3;Hotel Management and Admin Jobs
2;Hospitality and Catering Jobs;3;Other Hospitality and Catering Jobs
2;Law Jobs;3;Advocacy Jobs
2;Law Jobs;3;Barrister Jobs
2;Law Jobs;3;Law Graduate Jobs
2;Law Jobs;3;Lawyer Jobs
2;Law Jobs;3;Inhouse Legal Counsel Jobs
2;Law Jobs;3;Legal Secretary Jobs
2;Law Jobs;3;Licenced Conveyancing Jobs
2;Law Jobs;3;Paralegal and Trainee Law Jobs
2;Law Jobs;3;Solicitor Jobs
2;Law Jobs;3;Other Legal Jobs
2;Marketing, Media and PR Jobs;3;Advertising Jobs
2;Marketing, Media and PR Jobs;3;Brand Manager Jobs
2;Marketing, Media and PR Jobs;3;Design and Creative Jobs
2;Marketing, Media and PR Jobs;3;Digital Marketing, SEO and PPC Jobs
2;Marketing, Media and PR Jobs;3;Event and Field Marketing Jobs
2;Marketing, Media and PR Jobs;3;Freelance Marketing Jobs
2;Marketing, Media and PR Jobs;3;Graduate Marketing Jobs
2;Marketing, Media and PR Jobs;3;Marketing Jobs
2;Marketing, Media and PR Jobs;3;PR Jobs
2;Marketing, Media and PR Jobs;3;Writing Jobs
2;Marketing, Media and PR Jobs;3;Other Marketing, Media, and PR Jobs
2;Recruitment and HR Jobs;3;Graduate and Trainee HR Jobs
2;Recruitment and HR Jobs;3;Graduate and Trainee Recruitment Jobs
2;Recruitment and HR Jobs;3;HR Consultant and Advisor Jobs
2;Recruitment and HR Jobs;3;Recruitment Consultant Jobs
2;Recruitment and HR Jobs;3;Senior HR Jobs
2;Recruitment and HR Jobs;3;Senior Recruitment Jobs
2;Recruitment and HR Jobs;3;Other Recruitment and HR Jobs
2;Sales, Retail and Customer Service Jobs;3;Business Development Jobs
2;Sales, Retail and Customer Service Jobs;3;Customer Service Jobs
2;Sales, Retail and Customer Service Jobs;3;Field Sales Jobs
2;Sales, Retail and Customer Service Jobs;3;Retail Jobs
2;Sales, Retail and Customer Service Jobs;3;Sales Jobs
2;Sales, Retail and Customer Service Jobs;3;Senior Sales Jobs
2;Sales, Retail and Customer Service Jobs;3;Telesales Jobs
2;Sales, Retail and Customer Service Jobs;3;Trainee/Graduate Sales Jobs
2;Sales, Retail and Customer Service Jobs;3;Other Sales, Retail, and Customer Service Jobs
