ID;upsell;print area;print edition;print expire
12805040;"Top Ad";"N";"";""
13063754;"Top Ad";"Y";"";""
13066140;"Top Ad,Flashing,Online highlighted,Print booster";"Y";"C,E,B,A,G";"2014-12-02 00:00:00"
13063740;"Urgent";"Y";"";""
13062732;"Top Ad";"N";"";""
12293563;"Basic,Top Ad";"N";"";""
13066077;"Top Ad,Print booster";"Y";"C,A,B";"2014-12-09 00:00:00"
13067601;"Top Ad,Online highlighted";"N";"";""
12923296;"Top Ad";"N";"";""
13021813;"Top Ad,Flashing,Print booster";"Y";"G,A,F,B,K";"2014-12-02 00:00:00"
13069710;"Top Ad";"N";"";""
13060032;"Top Ad";"N";"";""
13065891;"Top Ad,Print booster";"Y";"E,C,A,D,AD";"2014-12-09 00:00:00"
13056637;"Top Ad";"N";"";""
13043876;"Top Ad,Flashing";"Y";"";""
13068687;"Top Ad";"Y";"";""
12755370;"Top Ad,Flashing,Online highlighted";"Y";"";""
12842741;"Online highlighted";"N";"";""
13067921;"Top Ad,Print booster";"Y";"C,B,A";"2014-12-09 00:00:00"
13058225;"Online highlighted,Print booster";"Y";"C";"2014-12-02 00:00:00"
13062637;"Top Ad";"N";"";""
13002752;"Online highlighted";"Y";"";""
13047014;"Top Ad,Print booster";"Y";"G";"2014-12-02 00:00:00"
13060516;"Top Ad,Print booster";"Y";"A,C,F";"2014-12-02 00:00:00"
13049029;"Top Ad,Online highlighted";"N";"";""
13065469;"Top Ad";"Y";"";""
13057379;"Urgent";"N";"";""
13068656;"Top Ad,Print booster";"Y";"A,F,AD,D,C";"2014-12-16 00:00:00"
13055394;"Urgent,Top Ad";"Y";"";""
13063344;"Online highlighted";"Y";"";""
13063552;"Top Ad,Print booster";"Y";"K,G,F";"2014-12-02 00:00:00"
13058787;"Top Ad";"Y";"";""
12111624;"Top Ad";"Y";"";""
13068930;"Top Ad";"Y";"";""
13060563;"Top Ad";"N";"";""
13062093;"Top Ad";"N";"";""
12625358;"Basic,Top Ad,Online highlighted";"N";"";""
12868218;"Top Ad";"N";"";""
13056656;"Top Ad,Print booster";"Y";"P";"2014-12-09 00:00:00"
13021896;"Online highlighted,Print booster";"Y";"E,C,A";"2014-12-02 00:00:00"
12972898;"Top Ad";"N";"";""
13037685;"Top Ad,Print booster";"Y";"E,C,A";"2014-12-16 00:00:00"
12781736;"Top Ad";"Y";"";""
12076903;"Top Ad";"N";"";""
13067522;"Top Ad";"N";"";""
12915041;"Top Ad";"N";"";""
13056810;"Top Ad,Print booster";"Y";"F";"2014-12-09 00:00:00"
12992589;"Top Ad,Flashing,Online highlighted";"N";"";""
13034385;"Top Ad";"Y";"";""
12967833;"Top Ad,Print booster";"Y";"A,F,AD,C,D";"2014-12-02 00:00:00"
13061558;"Top Ad,Print booster";"Y";"C";"2014-12-02 00:00:00"
13057637;"Top Ad";"Y";"";""
13067374;"Top Ad,Print booster";"Y";"E,C,A";"2014-12-02 00:00:00"
13059777;"Top Ad";"Y";"";""
13056415;"Flashing,Print booster";"Y";"F,A,AD,G,K";"2014-12-02 00:00:00"
13057157;"Top Ad,Print booster";"Y";"K";"2014-12-23 00:00:00"
13069803;"Top Ad";"Y";"";""
13026497;"Top Ad,Print booster";"Y";"G,A,F,B,K";"2014-12-09 00:00:00"
