"Id","Label","Title","Sub title","Description","Category id","Upsell ids pipe separated","Price","Main Category","Email Template","Value","Print duration","Role","Location groups pipe separated","Package Type","Package sr no.","Admin price","Admin print duration"
70,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your vehicle printed with a photo in your local Friday-Ad paper.</li><li>Boost your motor listing to the top of the results each week online</li><li>Your ad with be labelled 'featured'</li><li>A accurate valuation of your vehicle to give you the best selling price</li></ul>",444,"11|5|8|22",16.99,"Motors",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|16.99,2w|24.99,4w|39.99",5,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,16.99,"1w|16.99,2w|24.99,4w|39.99"
71,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your vehicle printed with a photo/logo in five editions of the Friday-Ad paper</li><li>Your vehicle promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your motor listing to the top of the results each week online</li><li>Your ad with be labelled 'featured' and appear top of the online listings</li><li>A accurate valuation of your vehicle to give you the best selling price</li></ul>",444,"11|5|37|9|22",29.99,"Motors",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|29.99,2w|44.99,4w|69.99",5,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,29.99,"1w|29.99,2w|44.99,4w|69.99"
72,"YOUR CURRENT AD TYPE","Get Basic","Live in a matter of minutes...","<ul><li>Basic online listing for your vehicle</li></ul>",444,2,5,"Motors",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,6,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,5,
73,"OUR MOST POPULAR OPTION","Go Urgent","More eyes on your vehicle","<ul><li>Boost your motor listing to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",444,6,5.99,"Motors",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,6,13,"Non Print Package 1",2,5.99,
74,"BEST FOR QUICK RESULTS","Get on Top","More views on your vehicle","<ul><li>Boost your motor listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings</li><li>A accurate valuation of your vehicle to give you the best selling price</li></ul>",444,"11|5|22",7.99,"Motors",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,6,13,"Non Print Package 2",3,7.99,
75,"MAXIMUM EXPOSURE","Go Premium","Get Maximum exposure!","<ul><li>Your motor listing promoted on the Friday-Ad homepage!</li><li>Boost your motor listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings above your competition</li><li>A accurate valuation of your vehicle to give you the best selling price</li></ul>",444,"11|5|22|37",14.99,"Motors",10,"title_class:pkg-blue-head, btn_class:primary-btn-1",,6,13,"Non Print Package 3",4,14.99,
76,"OUR MOST POPULAR OPTION","Go Urgent","More eyes on your vehicle","<ul><li>Boost your motor listing to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",444,"11|6",7.99,"Motors",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,6,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,7.99,
77,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your vehicle printed with a photo in your local Friday-Ad paper.</li><li>Boost your motor listing to the top of the results each week online</li><li>Your ad with be labelled 'featured'</li><li>A accurate valuation of your vehicle to give you the best selling price</li></ul>",444,"11|5|8|22",16.99,"Motors",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|16.99,2w|24.99,4w|39.99",6,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,16.99,"1w|16.99,2w|24.99,4w|39.99"
78,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your vehicle printed with a photo/logo in five editions of the Friday-Ad paper</li><li>Your vehicle promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your motor listing to the top of the results each week online</li><li>Your ad with be labelled 'featured' and appear top of the online listings</li><li>A accurate valuation of your vehicle to give you the best selling price</li></ul>",444,"11|5|37|9|22",29.99,"Motors",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|29.99,2w|44.99,4w|69.99",6,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,29.99,"1w|29.99,2w|44.99,4w|69.99"
79,"YOUR CURRENT AD TYPE","Get FREE","Live in a matter of minutes...","<ul><li>Basic online listing for your local service</li></ul>",585,,0,"Services",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,0,
80,"OUR MOST POPULAR OPTION","Go Urgent","More eyes on your business","<ul><li>Boost your business listing to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",585,"11|6",7,"Services",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 1",2,7,
81,"BEST FOR QUICK RESULTS","Get on Top","More customers for your business","<ul><li>Boost your business listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings</li></ul>",585,"11|5",10,"Services",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 2",3,10,
82,"MAXIMUM EXPOSURE","Go Premium","Get Maximum exposure!","<ul><li>Your business promoted on the Friday-Ad homepage!</li><li>Boost your business listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings above your competition</li></ul>",585,"11|5|37",15,"Services",10,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 3",4,15,
83,"OUR MOST POPULAR OPTION","Go Urgent","More views on your business!","<ul><li>Boost your business listing to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",585,"11|5",10,"Services",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,10,
84,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your business printed with a photo/logo in your local Friday-Ad paper.</li><li>Boost your business listing to the top of the results each week online</li><li>Your ad with be labelled 'featured'</li></ul>",585,"11|5|7",15,"Services",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|15,4w|48,12w|120",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,15,"1w|15,4w|48,12w|120"
85,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your business printed with a photo/logo in five editions of the Friday-Ad paper</li><li>Your business promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your business listing to the top of the results each week online</li><li>Your ad with be labelled 'featured' and appear top of the online listings</li></ul>",585,"11|5|37|9",25,"Services",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|25,4w|80,12w|200",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,25,"1w|25,4w|80,12w|200"
86,"YOUR CURRENT AD TYPE","Get FREE","Live in a matter of minutes...","<ul><li>Basic online listing</li></ul>",783,,0,"Community",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,0,
87,"OUR MOST POPULAR OPTION","Go Urgent","Get seen first","<ul><li>Boost your ad to the top of the listings each week</li><li>Your ad with be labelled 'urgent'</li></ul>",783,"11|6",5,"Community",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 1",2,5,
88,"BEST FOR QUICK RESULTS","Get on Top","More views on your ad!","<ul><li>Boost your ad to the top of the listings</li><li>Your ad with be labelled 'featured and appear top of the listings</li></ul>",783,"11|5",8,"Community",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 2",3,8,
